#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Date
28,CMF2,9.60,-1.03,9.60,9.60,9.60,100,960.00,01/02/2022
29,CORBL,917.00,7.7,921.00,868.00,868.00,"26,733","24,217,431.90",01/02/2022
30,CZBIL,273.50,0.89,276.50,266.80,276.50,"66,900","18,141,410.50",01/02/2022
31,DDBL,"1,190.00",1.71,"1,200.00","1,160.00","1,160.00","16,074","19,068,227.40",01/02/2022
32,DHPL,272.10,-2.12,283.00,272.10,283.00,"9,573","2,630,822.80",01/02/2022
33,EBL,548.00,2.37,551.80,532.00,536.00,"40,142","21,819,449.00",01/02/2022
34,EDBL,513.00,-0.16,519.90,501.00,519.90,"6,732","3,428,644.40",01/02/2022
35,EIC,664.30,2.99,680.90,637.00,637.00,"7,054","4,627,998.00",01/02/2022
36,EICPO,437.90,6.08,437.90,412.50,421.00,"5,115","2,191,362.50",01/02/2022
37,FMDBL,769.70,5.44,780.00,731.00,735.00,"18,734","14,168,262.70",01/02/2022
38,FOWAD,"2,050.00",4.43,"2,070.00","2,000.00","2,000.00","11,450","23,368,361.40",01/02/2022
39,GBBL,527.00,4.52,531.00,504.00,510.00,"70,720","36,655,490.00",01/02/2022
40,GBD80/81,"1,023.00",1.99,"1,023.00","1,023.00","1,023.00",25,"25,575.00",01/02/2022
41,GBIME,300.00,0.37,304.80,298.00,304.80,"51,165","15,330,971.40",01/02/2022
42,GBLBS,928.00,1.98,928.00,895.00,905.00,"12,770","11,679,443.50",01/02/2022
43,GFCL,558.00,4.6,558.00,544.00,544.00,"17,954","9,905,410.50",01/02/2022
44,GHL,310.00,-2.05,322.00,308.50,322.00,"2,435","761,206.60",01/02/2022
45,GIC,596.90,3.11,597.00,573.00,573.00,"6,174","3,646,009.50",01/02/2022
46,GILB,"1,601.00",2.23,"1,621.00","1,570.00","1,570.00","2,261","3,646,706.00",01/02/2022
47,GIMES1,10.80,1.41,10.80,10.50,10.56,"78,503","831,363.50",01/02/2022
48,GLBSL,"1,215.20",1.27,"1,310.00","1,215.20","1,224.00",755,"945,872.00",01/02/2022
49,GLH,398.00,4.74,398.00,372.50,372.50,"12,743","4,892,709.30",01/02/2022
50,GLICL,583.00,3.55,589.00,570.00,574.00,"28,538","16,562,724.60",01/02/2022
51,GMFBS,"1,225.00",3.81,"1,245.00","1,190.00","1,190.00","1,048","1,289,083.60",01/02/2022
52,GMFIL,433.00,4.34,438.50,420.00,423.00,"9,998","4,305,379.00",01/02/2022
53,GRDBL,322.50,1.07,344.30,322.00,325.40,"4,989","1,624,877.70",01/02/2022
54,GUFL,779.90,-5.12,806.00,774.20,806.00,"73,992","57,722,452.30",01/02/2022
55,HDHPC,307.00,0,313.00,303.00,313.00,"33,074","10,179,066.00",01/02/2022
56,HDL,"4,318.00",9.99,"4,318.20","4,004.00","4,004.00","105,193","449,402,591.90",01/02/2022
57,HGI,660.00,3.12,667.00,637.00,642.00,"17,597","11,496,752.20",01/02/2022
58,HIDCL,255.90,0.35,259.50,252.00,255.00,"103,935","26,628,626.30",01/02/2022
59,HPPL,422.30,1.44,426.00,419.00,424.60,"15,483","6,551,539.20",01/02/2022
60,HURJA,415.00,1.72,420.00,407.00,416.00,690,"282,207.00",01/02/2022
61,ICFC,589.00,0.63,593.00,580.00,585.00,"35,465","20,836,762.70",01/02/2022
62,ICFCD83,"1,182.00",2.37,"1,182.00","1,160.00","1,176.90",675,"792,240.00",01/02/2022
63,IGI,"1,040.10",4.01,"1,055.00","1,001.00","1,020.00","24,524","25,473,883.70",01/02/2022
64,ILBS,"1,348.50",3.12,"1,350.00","1,304.00","1,330.00","2,259","3,003,173.30",01/02/2022
65,JBBL,401.50,3.48,402.00,388.00,392.00,"59,180","23,356,959.70",01/02/2022
66,JBLB,"4,410.00",0.8,"4,460.00","4,290.00","4,460.00","7,580","33,405,140.40",01/02/2022
67,JFL,586.00,0.51,594.00,572.00,575.00,"8,566","5,015,789.20",01/02/2022
68,JLI,605.00,6.14,622.00,560.00,580.00,"28,846","17,359,345.50",01/02/2022
69,JOSHI,301.90,-0.36,306.00,298.00,304.00,"39,788","11,948,280.00",01/02/2022
70,JSLBB,"2,667.90",2.22,"2,667.90","2,605.00","2,610.00","1,702","4,475,648.20",01/02/2022
71,KBL,245.80,2.42,246.00,237.00,244.80,"69,361","16,845,323.70",01/02/2022
72,KBLD86,"1,039.90",1.95,"1,039.90","1,039.90","1,039.90",25,"25,997.50",01/02/2022
73,KEF,9.00,0.67,9.08,8.77,8.77,"22,020","197,793.60",01/02/2022
74,KKHC,279.00,-1.06,283.00,276.40,282.00,"8,084","2,251,870.50",01/02/2022
75,KLBSL,"1,310.00",7.38,"1,319.90","1,244.00","1,244.00","1,872","2,419,227.00",01/02/2022
76,KMCDB,"1,234.30",1.45,"1,234.50","1,195.00","1,195.00","6,016","7,335,313.00",01/02/2022
77,KPCL,518.00,3.6,519.10,481.40,501.50,"49,459","24,820,932.40",01/02/2022
78,KRBL,372.00,0.54,375.00,366.00,375.00,"10,196","3,772,402.80",01/02/2022
79,KSBBL,448.00,2.99,450.80,430.10,440.00,"44,696","19,810,900.20",01/02/2022
80,LBBL,456.00,6,456.90,430.00,435.00,"82,207","36,448,928.50",01/02/2022
81,LBL,283.00,3.32,288.00,273.80,279.30,"35,710","10,061,277.40",01/02/2022
82,LBLD88,923.50,-1.45,925.00,923.50,925.00,75,"69,302.50",01/02/2022
83,LEC,310.00,-1.27,320.00,305.00,310.00,"2,890","894,500.00",01/02/2022
84,LEMF,9.74,1.99,9.93,9.74,9.74,"15,050","148,715.25",01/02/2022
85,LGIL,706.00,3.82,706.50,679.00,692.90,"28,433","19,852,980.90",01/02/2022
86,LICN,"1,949.00",0.58,"1,973.90","1,930.00","1,969.00","3,495","6,819,249.50",01/02/2022
87,LLBS,"1,448.00",3.35,"1,448.00","1,400.00","1,410.00","1,668","2,357,530.00",01/02/2022
88,LUK,9.64,1.9,9.64,9.37,9.37,"2,800","26,691.00",01/02/2022
89,MBJC,161.00,9.97,161.00,144.60,144.60,239,"37,861.90",01/02/2022
90,MBL,321.00,1.58,323.10,311.00,311.00,"114,133","36,649,823.00",01/02/2022
91,MBLD2085,"1,040.00",1.96,"1,040.00","1,040.00","1,040.00",25,"26,000.00",01/02/2022
92,MDB,457.00,1.83,457.00,440.00,451.00,"15,567","7,009,825.00",01/02/2022
93,MEGA,284.50,0.18,287.00,281.50,287.00,"68,698","19,538,251.50",01/02/2022
94,MEN,"1,051.00",0.23,"1,070.00","1,020.00","1,030.00","1,790","1,881,840.00",01/02/2022
95,MERO,"1,079.00",4.25,"1,082.00","1,030.00","1,035.00","12,952","13,814,252.40",01/02/2022
96,MFIL,650.00,-3.09,680.00,635.10,671.00,"80,735","52,620,679.70",01/02/2022
97,MFLD85,980.00,1.09,980.00,980.00,980.00,25,"24,500.00",01/02/2022
98,MHNL,407.00,1.5,420.00,401.10,407.00,"6,716","2,751,794.00",01/02/2022
99,MKJC,420.00,0.77,425.00,410.00,425.00,"1,877","783,187.20",01/02/2022
100,MKLB,"1,327.50",0.19,"1,377.00","1,300.00","1,300.00",500,"669,056.00",01/02/2022
101,MLBBL,"1,959.00",7.34,"1,963.50","1,840.00","1,840.00","9,030","17,445,714.20",01/02/2022
102,MLBL,466.00,4.46,467.00,442.00,450.00,"107,893","49,288,371.10",01/02/2022
103,MLBS,"1,340.00",1.98,"1,375.00","1,290.00","1,314.00","1,120","1,481,941.00",01/02/2022
104,MLBSL,"3,503.00",2.58,"3,549.00","3,479.00","3,483.30","1,449","5,113,998.00",01/02/2022
105,MMF1,8.90,-0.67,9.18,8.82,8.90,"16,500","147,937.00",01/02/2022
106,MMFDB,"1,555.00",3.67,"1,565.00","1,500.00","1,500.00","10,950","16,965,204.70",01/02/2022
107,MMFDBP,586.00,0,586.00,586.00,586.00,"19,868","11,642,648.00",01/02/2022
108,MNBBL,510.00,3.03,512.00,495.00,504.90,"47,768","24,052,044.80",01/02/2022
109,MPFL,419.90,2.41,433.00,401.80,401.80,"4,759","1,999,607.10",01/02/2022
110,MSLB,"1,515.00",2.02,"1,555.00","1,514.70","1,514.70",495,"762,012.00",01/02/2022
111,NABBC,485.50,0.1,503.80,467.00,476.00,"4,661","2,249,605.00",01/02/2022
112,NABIL,"1,144.00",5.41,"1,151.50","1,086.00","1,107.00","263,845","297,049,298.90",01/02/2022
113,NBB,408.00,1.37,426.80,402.50,410.50,"456,727","189,215,827.40",01/02/2022
114,NBF2,10.45,-2.06,10.50,10.30,10.50,"14,800","155,035.00",01/02/2022
115,NBF3,9.50,0.32,9.50,9.14,9.29,"60,550","558,392.00",01/02/2022
116,NBL,341.40,0.44,345.00,340.00,341.00,"64,624","22,080,511.50",01/02/2022
117,NBLD85,893.20,-2.91,911.40,893.20,910.30,125,"113,226.00",01/02/2022
118,NCCB,262.00,0.38,264.00,257.10,260.00,"52,145","13,601,302.10",01/02/2022
119,NCCD86,"1,000.00",3.07,"1,000.00",989.60,989.60,"1,115","1,114,380.00",01/02/2022
120,NEF,10.21,-3.68,10.50,10.21,10.39,"127,850","1,312,757.50",01/02/2022
121,NFS,499.00,0.2,507.00,490.00,498.00,"8,665","4,295,620.50",01/02/2022
122,NGPL,610.00,3.21,611.90,579.20,602.00,"130,786","76,731,802.10",01/02/2022
123,NHDL,388.90,1.28,401.00,383.10,385.00,"13,651","5,307,327.10",01/02/2022
124,NHPC,335.00,0.3,340.00,333.00,339.00,"124,593","41,727,571.70",01/02/2022
125,NIBD84,931.20,0.13,933.20,931.20,933.20,125,"116,567.50",01/02/2022
126,NIBLPF,9.87,0.2,9.90,9.71,9.85,"13,253","129,315.65",01/02/2022
127,NIBSF1,12.15,0.41,12.28,12.15,12.24,"97,000","1,182,968.99",01/02/2022
128,NIBSF2,8.91,-1,9.10,8.82,8.82,"5,450","49,240.50",01/02/2022
129,NICA,769.00,3.92,773.00,730.00,754.80,"73,533","55,902,252.30",01/02/2022
130,NICAD8283,"1,030.00",0.48,"1,030.00","1,030.00","1,030.00",50,"51,500.00",01/02/2022
131,NICBF,10.50,1.94,10.65,10.30,10.30,"3,968","41,689.70",01/02/2022
132,NICD83/84,"1,000.00",-1.48,"1,000.00","1,000.00","1,000.00",20,"20,000.00",01/02/2022
133,NICGF,11.10,-0.8,11.40,11.10,11.40,"53,000","589,170.00",01/02/2022
134,NICL,808.00,3.6,812.00,777.00,779.90,"31,748","25,476,959.20",01/02/2022
135,NICLBSL,"1,110.00",5.82,"1,142.00","1,045.00","1,045.00","15,254","16,730,062.10",01/02/2022
136,NICSF,9.00,1.47,9.00,8.83,8.87,"5,250","46,758.00",01/02/2022
137,NIFRA,292.00,0.34,295.00,290.00,291.00,"75,101","21,913,380.80",01/02/2022
138,NIL,"1,193.00",4.19,"1,195.00","1,132.00","1,132.10","26,952","31,577,046.70",01/02/2022
139,NLBBL,"1,081.00",3.54,"1,096.50","1,046.00","1,046.00","5,836","6,263,609.50",01/02/2022
140,NLG,883.00,3.52,883.00,845.00,845.00,"10,807","9,418,034.90",01/02/2022
141,NLIC,"1,519.00",0.6,"1,540.00","1,490.00","1,540.00","36,427","55,275,372.60",01/02/2022
142,NLICL,975.00,3.23,977.00,929.00,930.10,"37,160","35,845,303.50",01/02/2022
143,NMB,329.50,0.15,332.00,326.00,330.00,"55,759","18,378,241.50",01/02/2022
144,NMB50,11.55,0,11.78,11.55,11.61,"120,700","1,399,171.63",01/02/2022
145,NMBD2085,"1,005.00",0.5,"1,005.00","1,005.00","1,005.00",50,"50,250.00",01/02/2022
146,NMBHF1,11.05,-0.99,11.20,11.01,11.20,"20,761","230,007.61",01/02/2022
147,NMBMF,"1,048.00",3.76,"1,054.20","1,010.00","1,010.00","3,279","3,392,213.00",01/02/2022
148,NMFBS,"3,415.00",6.12,"3,445.00","3,250.00","3,270.00","11,085","37,516,288.90",01/02/2022
149,NRIC,"1,142.00",0.88,"1,154.00","1,132.00","1,149.00","41,370","47,334,719.90",01/02/2022
150,NRN,533.00,4.22,534.00,510.00,510.00,"8,484","4,460,154.20",01/02/2022
151,NSLB,"1,264.00",5.51,"1,264.00","1,180.10","1,221.70","1,830","2,259,051.00",01/02/2022
152,NTC,"1,325.00",3.27,"1,341.00","1,283.00","1,300.00","79,727","103,884,333.10",01/02/2022
153,NUBL,"1,195.00",0.25,"1,203.00","1,172.00","1,190.00","12,339","14,735,153.90",01/02/2022
154,NYADI,383.00,5.22,386.10,353.00,356.80,"11,390","4,225,588.00",01/02/2022
155,OHL,476.00,0.42,480.00,471.00,480.00,"1,295","615,285.00",01/02/2022
156,PBLD84,"1,010.00",0.5,"1,010.00","1,010.00","1,010.00",291,"293,910.00",01/02/2022
157,PCBL,335.00,0.3,340.00,330.00,340.00,"65,670","21,907,737.50",01/02/2022
158,PFL,445.00,1.14,445.00,435.10,436.10,"7,887","3,478,901.00",01/02/2022
159,PIC,"1,002.00",-0.4,"1,014.80",985.90,"1,009.00","10,192","10,238,855.40",01/02/2022
160,PICL,670.10,2.46,679.00,644.00,660.00,"16,238","10,902,905.00",01/02/2022
161,PLI,589.00,3.33,590.00,563.20,569.00,"9,874","5,684,926.40",01/02/2022
162,PLIC,720.00,3.46,721.00,690.00,700.00,"13,043","9,292,237.50",01/02/2022
163,PLICPO,340.00,0,340.00,340.00,340.00,"41,317","14,047,780.00",01/02/2022
164,PMHPL,312.00,0.87,315.00,303.20,304.00,"8,846","2,746,261.30",01/02/2022
165,PPCL,451.00,1.58,469.90,436.00,452.80,"4,013","1,803,383.90",01/02/2022
166,PRIN,819.00,5,820.00,780.00,785.40,"22,315","17,982,565.80",01/02/2022
167,PROFL,354.90,1.4,357.00,345.00,346.00,"26,954","9,503,097.50",01/02/2022
168,PRVU,305.00,1.53,308.00,300.10,306.40,"63,255","19,260,125.20",01/02/2022
169,PSF,9.10,0,9.18,8.92,9.00,"42,700","383,533.00",01/02/2022
170,RADHI,553.00,1.28,558.00,545.00,556.90,"12,496","6,893,260.50",01/02/2022
171,RBCL,"18,032.10",5.45,"18,810.00","17,199.00","17,199.00","1,313","23,936,382.00",01/02/2022
172,RBCLPO,"15,840.00",9.21,"15,954.40","14,301.00","14,301.00","2,221","34,907,328.00",01/02/2022
173,RHPL,344.30,0.15,350.00,341.10,348.00,"22,200","7,657,545.50",01/02/2022
174,RLFL,494.00,2.49,500.00,485.00,487.00,"29,529","14,530,669.50",01/02/2022
175,RLFLPO,316.00,0,316.00,316.00,316.00,"1,326","419,016.00",01/02/2022
176,RLI,528.00,2.52,530.00,510.00,514.00,"11,237","5,854,430.20",01/02/2022
177,RMDC,"1,178.00",3.03,"1,178.00","1,143.00","1,166.00","15,088","17,424,790.40",01/02/2022
178,RMF1,8.91,-2.09,9.20,8.91,8.92,"7,700","69,440.00",01/02/2022
179,RSDC,730.10,5.97,757.00,690.00,690.00,"9,096","6,496,745.40",01/02/2022
180,RURU,928.00,1.42,928.00,895.00,900.00,"1,095","998,950.00",01/02/2022
181,SABSL,"1,310.00",3.97,"1,325.00","1,270.00","1,277.00","1,548","2,008,851.60",01/02/2022
182,SADBL,336.00,3.38,338.00,323.50,325.00,"39,791","13,166,954.70",01/02/2022
183,SADBLP,226.00,0,226.00,226.00,226.00,"19,827","4,480,902.00",01/02/2022
184,SAEF,12.89,0.31,12.89,12.61,12.61,"11,500","147,246.00",01/02/2022
185,SAHAS,549.00,0.73,565.00,534.20,540.00,"15,457","8,417,646.90",01/02/2022
186,SANIMA,363.00,2.54,365.00,354.00,354.00,"53,951","19,459,574.50",01/02/2022
187,SAPDBL,305.00,-0.59,308.00,294.70,300.70,"21,914","6,598,633.30",01/02/2022
188,SBCF,8.50,0.59,8.61,8.45,8.61,"7,230","61,506.35",01/02/2022
189,SBD87,950.00,0,969.00,950.00,965.00,100,"96,325.00",01/02/2022
190,SBI,350.00,1.45,351.00,345.00,348.00,"10,664","3,702,635.00",01/02/2022
191,SBL,413.60,1.84,421.00,405.00,414.20,"93,520","38,403,012.70",01/02/2022
192,SCB,457.90,2.44,457.90,439.10,447.00,"16,214","7,294,539.20",01/02/2022
193,SDBD87,950.30,-0.09,950.90,949.60,949.60,75,"71,270.00",01/02/2022
194,SDLBSL,"1,225.00",4.08,"1,273.30","1,165.00","1,165.00","2,274","2,749,761.70",01/02/2022
195,SEF,10.40,0.39,10.40,10.19,10.20,"10,800","110,970.00",01/02/2022
196,SFCL,345.00,-0.86,354.00,336.00,353.90,"12,156","4,190,887.90",01/02/2022
197,SFMF,11.00,0.64,11.13,10.73,10.73,"34,600","381,968.00",01/02/2022
198,SGI,580.00,2.29,585.00,556.10,556.10,"5,056","2,918,352.20",01/02/2022
199,SHEL,375.30,-0.79,385.80,370.70,385.80,"4,074","1,531,556.00",01/02/2022
200,SHINE,372.00,3.05,375.00,358.20,366.50,"46,505","17,193,012.50",01/02/2022
201,SHIVM,"1,526.00",3.11,"1,538.00","1,451.10","1,480.00","155,477","234,981,678.80",01/02/2022
202,SHL,208.00,-0.48,210.50,205.80,210.50,"18,999","3,932,807.00",01/02/2022
203,SHPC,401.00,2.3,402.00,393.50,399.80,"37,321","14,902,911.00",01/02/2022
204,SIC,"1,272.00",3.84,"1,280.00","1,206.00","1,210.10","6,318","7,933,511.10",01/02/2022
205,SICL,"1,702.00",2.68,"1,705.00","1,657.00","1,684.00","15,041","25,418,045.70",01/02/2022
206,SIFC,420.00,7.14,422.50,395.00,398.00,"69,431","28,631,217.70",01/02/2022
207,SIGS2,10.30,-0.58,10.40,10.30,10.36,900,"9,316.00",01/02/2022
208,SIL,917.00,2.34,920.00,890.00,890.00,"20,615","18,718,747.30",01/02/2022
209,SINDU,341.90,0.56,344.00,337.60,340.00,"6,348","2,155,446.50",01/02/2022
210,SJCL,340.00,0.89,343.00,338.00,339.00,"10,356","3,523,582.70",01/02/2022
211,SKBBL,"1,285.00",3.96,"1,316.10","1,240.00","1,240.00","11,822","14,985,934.80",01/02/2022
212,SLBBL,"1,060.00",3.11,"1,070.00","1,027.50","1,048.00","6,585","6,930,943.00",01/02/2022
213,SLBSL,"1,155.00",5.77,"1,173.00","1,098.00","1,098.00","1,153","1,313,672.60",01/02/2022
214,SLCF,9.20,0.88,9.32,9.00,9.30,"39,500","363,495.00",01/02/2022
215,SLI,525.00,1.94,528.30,504.70,510.00,"16,952","8,798,683.00",01/02/2022
216,SLICL,741.00,9.29,741.00,675.00,678.00,"51,074","36,499,000.60",01/02/2022
217,SMATA,"1,137.00",1.97,"1,137.00","1,085.20","1,102.00","1,472","1,636,891.90",01/02/2022
218,SMB,"1,760.50",2.89,"1,777.70","1,725.00","1,745.20",531,"934,558.00",01/02/2022
219,SMFBS,"1,852.00",0.04,"1,888.20","1,813.00","1,888.00",394,"732,110.00",01/02/2022
220,SMFDB,"1,170.00",0.4,"1,187.00","1,166.00","1,166.00","2,026","2,378,286.60",01/02/2022
221,SPC,450.00,-1.53,456.00,436.10,448.00,"5,566","2,475,728.00",01/02/2022
222,SPDL,401.00,1.26,402.50,390.00,397.00,"22,742","9,073,243.00",01/02/2022
223,SRBL,278.70,2.46,278.70,270.00,277.40,"26,768","7,360,787.30",01/02/2022
224,SSHL,307.00,0.33,312.00,300.10,300.10,"19,434","5,958,087.50",01/02/2022
225,STC,"5,650.00",0.89,"5,700.00","5,490.00","5,490.00","3,533","19,860,567.40",01/02/2022
226,SWBBL,"1,224.00",2.86,"1,225.00","1,191.00","1,191.00","6,955","8,469,152.50",01/02/2022
227,TPC,428.00,3.13,428.90,408.00,408.00,"2,170","909,541.00",01/02/2022
228,TRH,370.00,1.09,373.00,362.60,373.00,683,"249,972.20",01/02/2022
229,UIC,680.80,3.67,688.50,656.00,669.00,"20,938","14,082,567.50",01/02/2022
230,UICPO,237.00,0,237.00,237.00,237.00,"2,410","674,990.00",01/02/2022
231,ULI,651.00,3.66,651.60,618.00,621.00,"26,846","17,123,023.50",01/02/2022
232,UMHL,359.00,0.28,362.70,350.00,361.00,"60,330","21,536,730.00",01/02/2022
233,UMRH,506.00,2.43,507.60,488.10,488.10,290,"144,166.00",01/02/2022
234,UNHPL,310.00,0.65,314.10,304.00,308.00,"9,594","2,952,981.00",01/02/2022
235,UNL,"19,050.00",-0.24,"19,200.00","19,000.00","19,000.00",50,"955,500.00",01/02/2022
236,UPCL,343.00,0,356.70,340.00,349.80,"37,079","12,802,015.70",01/02/2022
237,UPPER,632.00,2.27,640.00,620.00,620.00,"108,017","68,143,849.60",01/02/2022
238,USLB,"1,556.00",6.36,"1,556.00","1,442.00","1,469.00","2,440","3,621,768.80",01/02/2022
239,VLBS,"1,270.00",2.25,"1,347.00","1,260.00","1,266.80","1,429","1,825,143.10",01/02/2022
1,ACLBSL,"1,302.00",3.66,"1,354.00","1,280.00","1,281.00","12,969","16,964,444.20",01/03/2022
2,ADBL,415.00,0.97,418.00,412.00,416.00,"35,929","14,924,061.50",01/03/2022
3,AHPC,435.00,-1.58,448.00,435.00,447.00,"125,498","55,311,521.00",01/03/2022
4,AIL,700.00,2.64,717.00,690.00,691.00,"8,681","6,111,506.00",01/03/2022
5,AKJCL,273.90,0.33,285.00,272.50,278.00,"71,847","19,956,561.10",01/03/2022
6,AKPL,504.90,-0.22,515.00,500.00,514.00,"112,793","57,286,458.40",01/03/2022
7,ALBSL,"1,518.70",5.61,"1,522.00","1,417.00","1,417.00","6,071","9,026,867.20",01/03/2022
8,ALICL,"1,171.00",0.52,"1,200.00","1,163.00","1,165.00","23,341","27,559,474.40",01/03/2022
9,API,469.00,0.43,479.00,460.60,476.30,"390,115","182,993,656.30",01/03/2022
10,BARUN,462.00,0.87,467.00,451.00,451.00,"12,098","5,579,628.90",01/03/2022
11,BBC,"4,902.00",1.07,"5,246.80","4,880.00","4,945.50",267,"1,332,862.00",01/03/2022
12,BFC,442.00,0.89,454.00,440.00,445.00,"18,546","8,301,228.40",01/03/2022
13,BNT,"16,399.00",5.26,"17,100.00","15,239.00","15,891.60","1,191","19,103,496.00",01/03/2022
14,BOKL,274.00,1.86,274.30,266.00,269.00,"32,290","8,783,842.50",01/03/2022
15,BPCL,418.00,0.72,419.90,414.00,415.00,"13,872","5,770,963.20",01/03/2022
16,CBBL,"1,289.90",1.58,"1,295.00","1,275.00","1,290.00","15,366","19,796,032.90",01/03/2022
17,CBL,258.00,4.67,258.80,245.10,247.00,"212,509","53,941,267.30",01/03/2022
18,CBLPO,161.00,0,161.00,161.00,161.00,"31,920","5,139,120.00",01/03/2022
19,CCBL,233.00,3.1,235.00,228.10,229.00,"112,504","26,059,900.50",01/03/2022
20,CFCL,412.00,3.26,420.00,396.00,406.00,"32,214","13,133,346.20",01/03/2022
21,CGH,"1,438.00",0.84,"1,465.00","1,425.00","1,450.00","8,772","12,694,971.20",01/03/2022
22,CHCL,481.00,0.84,483.50,471.00,471.00,"15,874","7,591,482.60",01/03/2022
23,CHDC,849.00,2.54,850.00,826.00,844.50,"26,109","21,892,419.10",01/03/2022
24,CHL,474.80,0.17,480.00,463.10,480.00,"10,012","4,713,185.80",01/03/2022
25,CIT,"3,309.90",3.43,"3,339.00","3,201.00","3,264.00","27,395","89,981,897.50",01/03/2022
26,CMF1,9.49,1.06,9.70,9.40,9.56,"29,470","282,028.30",01/03/2022
27,CMF2,9.79,1.98,9.98,9.79,9.79,"8,700","86,104.00",01/03/2022
28,CORBL,928.00,1.2,949.90,922.00,925.00,"18,289","17,142,887.20",01/03/2022
29,CZBIL,279.00,2.01,281.90,270.40,278.90,"78,601","21,744,321.30",01/03/2022
30,DDBL,"1,228.00",3.19,"1,237.00","1,199.00","1,213.80","40,692","49,532,194.20",01/03/2022
31,DHPL,270.00,-0.77,282.00,268.00,277.00,"16,966","4,649,159.80",01/03/2022
32,EBL,573.90,4.73,576.00,551.10,552.00,"65,836","37,353,840.50",01/03/2022
33,EDBL,529.50,3.22,533.60,521.00,522.80,"15,766","8,286,056.50",01/03/2022
34,EIC,661.00,-0.5,685.00,660.00,665.00,"12,599","8,500,352.00",01/03/2022
35,EICPO,444.00,1.39,445.00,420.70,430.00,"5,637","2,390,868.00",01/03/2022
36,FMDBL,830.00,7.83,842.50,781.00,785.00,"60,906","50,009,583.60",01/03/2022
37,FOWAD,"2,075.00",1.22,"2,091.00","2,051.00","2,090.00","10,623","21,984,576.00",01/03/2022
38,GBBL,536.00,1.71,543.00,520.00,527.00,"90,732","48,593,552.40",01/03/2022
39,GBIME,300.20,0.07,306.00,300.00,306.00,"81,164","24,460,931.90",01/03/2022
40,GBLBS,967.00,4.2,979.00,929.00,946.00,"24,873","23,929,219.00",01/03/2022
41,GFCL,578.00,3.58,593.00,564.00,565.00,"18,549","10,748,563.90",01/03/2022
42,GHL,315.00,1.61,316.00,304.00,309.00,"5,931","1,840,797.00",01/03/2022
43,GIC,592.00,-0.82,602.00,587.00,597.00,"4,935","2,940,060.50",01/03/2022
44,GILB,"1,651.00",3.12,"1,665.00","1,627.00","1,633.00","3,562","5,859,631.40",01/03/2022
