#,Symbol,LTP,% Change,High,Low,Open,Qty.,Turnover,Date
1,ACLBSL,"1,256.00",2.36,"1,300.00","1,226.00","1,250.00","2,065","2,610,270.00",01/02/2022
2,ADBL,411.00,0.24,412.00,400.10,410.00,"78,818","32,071,339.80",01/02/2022
3,ADBLD83,"1,071.00",2,"1,071.00","1,050.00","1,050.00","1,990","2,127,615.00",01/02/2022
4,AHPC,442.00,2.84,444.00,425.90,434.50,"171,026","74,745,539.90",01/02/2022
5,AIL,682.00,0.59,692.00,678.00,690.00,"6,603","4,536,868.00",01/02/2022
6,AKJCL,273.00,0,278.00,269.00,275.00,"54,476","14,918,794.10",01/02/2022
7,AKPL,506.00,2.64,506.90,490.00,493.00,"82,669","41,105,515.30",01/02/2022
8,ALBSL,"1,438.00",1.63,"1,440.00","1,400.00","1,415.00","4,502","6,355,528.80",01/02/2022
9,ALICL,"1,165.00",3.74,"1,165.00","1,114.00","1,145.40","12,173","13,916,787.10",01/02/2022
10,API,467.00,4.94,473.00,445.00,450.00,"377,918","173,704,300.30",01/02/2022
11,BARUN,458.00,-0.87,469.00,456.00,461.00,"15,252","7,020,664.50",01/02/2022
12,BBC,"4,850.00",-0.1,"4,880.00","4,834.00","4,838.10",500,"2,419,932.00",01/02/2022
13,BFC,438.10,-0.43,447.90,433.00,438.00,"10,000","4,397,818.50",01/02/2022
14,BNT,"15,580.00",2.51,"16,116.00","14,895.10","15,400.00","1,050","16,288,446.00",01/02/2022
15,BOKL,269.00,1.51,269.80,261.10,265.00,"21,592","5,776,094.80",01/02/2022
16,BPCL,415.00,0,416.00,410.00,415.00,"10,830","4,473,113.30",01/02/2022
17,CBBL,"1,269.80",1.58,"1,275.00","1,250.00","1,270.00","9,042","11,421,404.20",01/02/2022
18,CBL,246.50,1.86,248.80,242.00,244.00,"64,052","15,726,380.60",01/02/2022
19,CCBL,239.00,3.69,240.00,229.00,233.00,"129,711","30,468,529.80",01/02/2022
20,CCBLPO,120.00,0,120.00,120.00,120.00,"143,008","17,160,960.00",01/02/2022
21,CFCL,399.00,4.43,402.00,385.00,385.00,"25,698","10,186,466.30",01/02/2022
22,CGH,"1,426.00",3.41,"1,434.00","1,385.00","1,405.00","10,189","14,500,474.90",01/02/2022
23,CHCL,477.00,1.96,477.00,462.00,470.00,"20,494","9,719,535.30",01/02/2022
24,CHDC,828.00,3.24,832.80,796.00,802.00,"17,980","14,736,102.50",01/02/2022
25,CHL,474.00,0.85,478.00,461.00,475.00,"17,920","8,373,360.10",01/02/2022
26,CIT,"3,200.00",4.2,"3,250.00","3,071.00","3,132.40","20,266","63,813,715.00",01/02/2022
27,CMF1,9.39,-1.68,9.72,9.36,9.36,"6,397","60,284.65",01/02/2022
